sample,2023-06-15 22:25:09.292855
horse,2023-06-15 22:31:20.101078
fan,2023-06-15 22:31:37.418543
i talked with michelle,2023-06-17 07:37:38.669286
joelle,2023-06-17 07:37:57.445350
"""I making this entry at 7:16AM on 6/17. I got up at 5am and followed my morning routine. i drank water, did stretching and prayer. I should not have my phone with me during my brushing and morning routine, slowed me down and spent an extra 20mins. I started studying 6AM to work on OpenAI project. I got called my michelle at 6:30 and spent 40mins with my wife and kids cuddling. I can make to continue my study on OPenAI at 7:15AM \n\n###\n\n"" . ""its 6:39.  I got up at 5:45am and followed my morning routine. i drank water, did stretching and prayer. I didnt check anything on phone, that's a win. started studying 6:35AM to work on OpenAI project \n\n###\n\n"". ""Its 8:30. studied till 7:30 and then spent time with michelle and kids, we prayed together and did bath. feeling awesome \n\n###\n\n"". ""Its 11:00. couple of hours of not so productive time. watched movies. reminder to call capentry tomorrow at 9:30 and TLC at 9:45. follow up on roll deck and deck for maura. Stay focussed for the rest of the day. \n\n###\n\n"".",2023-06-18 17:22:39.455844
"""I making this entry at 7:16AM on 6/17. I got up at 5am and followed my morning routine. i drank water, did stretching and prayer. I should not have my phone with me during my brushing and morning routine, slowed me down and spent an extra 20mins. I started studying 6AM to work on OpenAI project. I got called my michelle at 6:30 and spent 40mins with my wife and kids cuddling. I can make to continue my study on OPenAI at 7:15AM \n\n###\n\n"" . ""its 6:39.  I got up at 5:45am and followed my morning routine. i drank water, did stretching and prayer. I didnt check anything on phone, that's a win. started studying 6:35AM to work on OpenAI project \n\n###\n\n"". ""Its 8:30. studied till 7:30 and then spent time with michelle and kids, we prayed together and did bath. feeling awesome \n\n###\n\n"". ""Its 11:00. couple of hours of not so productive time. watched movies. reminder to call capentry tomorrow at 9:30 and TLC at 9:45. follow up on roll deck and deck for maura. Stay focussed for the rest of the day. \n\n###\n\n"".",2023-06-18 17:26:03.003058
"""I making this entry at 7:16AM on 6/17. I got up at 5am and followed my morning routine. i drank water, did stretching and prayer. I should not have my phone with me during my brushing and morning routine, slowed me down and spent an extra 20mins. I started studying 6AM to work on OpenAI project. I got called my michelle at 6:30 and spent 40mins with my wife and kids cuddling. I can make to continue my study on OPenAI at 7:15AM \n\n###\n\n"" . ""its 6:39.  I got up at 5:45am and followed my morning routine. i drank water, did stretching and prayer. I didnt check anything on phone, that's a win. started studying 6:35AM to work on OpenAI project \n\n###\n\n"". ""Its 8:30. studied till 7:30 and then spent time with michelle and kids, we prayed together and did bath. feeling awesome \n\n###\n\n"". ""Its 11:00. couple of hours of not so productive time. watched movies. reminder to call capentry tomorrow at 9:30 and TLC at 9:45. follow up on roll deck and deck for maura. Stay focussed for the rest of the day. \n\n###\n\n",2023-06-19 06:12:57.477028
"""I making this entry at 7:16AM on 6/17. I got up at 5am and followed my morning routine. i drank water, did stretching and prayer. I should not have my phone with me during my brushing and morning routine, slowed me down and spent an extra 20mins. I started studying 6AM to work on OpenAI project. I got called my michelle at 6:30 and spent 40mins with my wife and kids cuddling. I can make to continue my study on OPenAI at 7:15AM \n\n###\n\n"" . ""its 6:39.  I got up at 5:45am and followed my morning routine. i drank water, did stretching and prayer. I didnt check anything on phone, that's a win. started studying 6:35AM to work on OpenAI project \n\n###\n\n"". ""Its 8:30. studied till 7:30 and then spent time with michelle and kids, we prayed together and did bath. feeling awesome \n\n###\n\n"". ""Its 11:00. couple of hours of not so productive time. watched movies. reminder to call capentry tomorrow at 9:30 and TLC at 9:45. follow up on roll deck and deck for maura. Stay focussed for the rest of the day. \n\n###\n\n",2023-06-19 06:21:43.374038
"""I making this entry at 7:16AM on 6/17. I got up at 5am and followed my morning routine. i drank water, did stretching and prayer. I should not have my phone with me during my brushing and morning routine, slowed me down and spent an extra 20mins. I started studying 6AM to work on OpenAI project. I got called my michelle at 6:30 and spent 40mins with my wife and kids cuddling. I can make to continue my study on OPenAI at 7:15AM \n\n###\n\n"" . ""its 6:39.  I got up at 5:45am and followed my morning routine. i drank water, did stretching and prayer. I didnt check anything on phone, that's a win. started studying 6:35AM to work on OpenAI project \n\n###\n\n"". ""Its 8:30. studied till 7:30 and then spent time with michelle and kids, we prayed together and did bath. feeling awesome \n\n###\n\n"". ""Its 11:00. couple of hours of not so productive time. watched movies. reminder to call capentry tomorrow at 9:30 and TLC at 9:45. follow up on roll deck and deck for maura. Stay focussed for the rest of the day. \n\n###\n\n",2023-06-19 06:22:24.492758
"""I making this entry at 7:16AM on 6/17. I got up at 5am and followed my morning routine. i drank water, did stretching and prayer. I should not have my phone with me during my brushing and morning routine, slowed me down and spent an extra 20mins. I started studying 6AM to work on OpenAI project. I got called my michelle at 6:30 and spent 40mins with my wife and kids cuddling. I can make to continue my study on OPenAI at 7:15AM \n\n###\n\n"" . ""its 6:39.  I got up at 5:45am and followed my morning routine. i drank water, did stretching and prayer. I didnt check anything on phone, that's a win. started studying 6:35AM to work on OpenAI project \n\n###\n\n"". ""Its 8:30. studied till 7:30 and then spent time with michelle and kids, we prayed together and did bath. feeling awesome \n\n###\n\n"". ""Its 11:00. couple of hours of not so productive time. watched movies. reminder to call capentry tomorrow at 9:30 and TLC at 9:45. follow up on roll deck and deck for maura. Stay focussed for the rest of the day. \n\n###\n\n"".",2023-06-19 06:23:26.676342
